user_id,watchlist_name,stock_symbol,date_added
U1001,My Watchlist,ADIB.CA,2026-06-02
U1001,My Watchlist,AMOC.CA,2026-05-07
U1001,My Watchlist,PHDC.CA,2026-06-27
U1001,My Watchlist,EFID.CA,2026-07-12
U1001,My Watchlist,FWRY.CA,2026-06-05
U1004,My Watchlist,PHDC.CA,2026-07-11
U1004,My Watchlist,EFID.CA,2026-07-04
U1004,My Watchlist,ADIB.CA,2026-07-09
U1004,My Watchlist,AMOC.CA,2026-07-03
U1005,My Watchlist,SKPC.CA,2026-07-08
U1005,My Watchlist,FWRY.CA,2026-06-20
U1005,My Watchlist,ADIB.CA,2026-06-30
U1005,My Watchlist,EFID.CA,2026-06-23
U1005,My Watchlist,AMOC.CA,2026-07-08
U1007,My Watchlist,PHDC.CA,2026-07-07
U1008,My Watchlist,FWRY.CA,2026-06-10
U1008,My Watchlist,AMOC.CA,2026-06-24
U1008,My Watchlist,ADIB.CA,2026-05-16
U1009,My Watchlist,PHDC.CA,2026-07-10
U1009,My Watchlist,SKPC.CA,2026-06-14
U1011,My Watchlist,ADIB.CA,2026-06-25
U1011,My Watchlist,FWRY.CA,2026-06-22
U1011,My Watchlist,AMOC.CA,2026-07-04
U1018,My Watchlist,AMOC.CA,2026-07-09
U1018,My Watchlist,FWRY.CA,2026-07-11
U1018,My Watchlist,PHDC.CA,2026-07-15
U1019,My Watchlist,FWRY.CA,2026-07-09
U1019,My Watchlist,SKPC.CA,2026-06-20
U1019,My Watchlist,ADIB.CA,2026-05-17
U1019,My Watchlist,EFID.CA,2026-05-31
U1022,My Watchlist,AMOC.CA,2026-05-19
U1022,My Watchlist,EFID.CA,2026-06-24
U1022,My Watchlist,FWRY.CA,2026-05-21
U1024,My Watchlist,FWRY.CA,2026-06-17
U1024,My Watchlist,ADIB.CA,2026-06-21
U1025,My Watchlist,AMOC.CA,2026-05-07
U1025,My Watchlist,EFID.CA,2026-06-08
U1026,My Watchlist,EFID.CA,2026-06-17
U1026,My Watchlist,FWRY.CA,2026-07-04
U1027,My Watchlist,SKPC.CA,2026-06-30
U1027,My Watchlist,AMOC.CA,2026-06-25
U1029,My Watchlist,FWRY.CA,2026-07-03
U1029,My Watchlist,SKPC.CA,2026-06-02
U1029,My Watchlist,EFID.CA,2026-06-22
U1029,My Watchlist,AMOC.CA,2026-06-19
U1030,My Watchlist,SKPC.CA,2026-07-12
U1030,My Watchlist,ADIB.CA,2026-04-21
U1035,My Watchlist,ADIB.CA,2026-06-10
U1038,My Watchlist,AMOC.CA,2026-07-07
U1038,My Watchlist,EFID.CA,2026-07-12
U1038,My Watchlist,FWRY.CA,2026-07-13
U1038,My Watchlist,ADIB.CA,2026-07-08
U1038,My Watchlist,PHDC.CA,2026-07-13
U1039,My Watchlist,EFID.CA,2026-06-26
U1039,My Watchlist,SKPC.CA,2026-07-11
U1039,My Watchlist,PHDC.CA,2026-07-05
U1039,My Watchlist,AMOC.CA,2026-06-23
U1045,My Watchlist,ADIB.CA,2026-05-07
U1045,My Watchlist,SKPC.CA,2026-04-23
U1046,My Watchlist,AMOC.CA,2026-07-05
U1048,My Watchlist,AMOC.CA,2026-07-12
U1054,My Watchlist,AMOC.CA,2026-06-12
U1054,My Watchlist,FWRY.CA,2026-06-30
U1055,My Watchlist,PHDC.CA,2026-06-24
U1055,My Watchlist,AMOC.CA,2026-06-30
U1056,My Watchlist,ADIB.CA,2026-07-06
U1056,My Watchlist,EFID.CA,2026-07-11
U1057,My Watchlist,ADIB.CA,2026-06-24
U1057,My Watchlist,EFID.CA,2026-05-29
U1058,My Watchlist,EFID.CA,2026-04-08
U1058,My Watchlist,FWRY.CA,2026-05-28
U1058,My Watchlist,AMOC.CA,2026-06-18
U1058,My Watchlist,SKPC.CA,2026-05-18
U1063,My Watchlist,ADIB.CA,2026-06-28
U1063,My Watchlist,SKPC.CA,2026-06-12
U1063,My Watchlist,PHDC.CA,2026-06-18
U1063,My Watchlist,AMOC.CA,2026-06-09
U1063,My Watchlist,EFID.CA,2026-06-27
U1064,My Watchlist,AMOC.CA,2026-06-20
U1066,My Watchlist,FWRY.CA,2026-07-08
U1066,My Watchlist,PHDC.CA,2026-07-05
U1066,My Watchlist,AMOC.CA,2026-06-25
