date,fund_id,certificate_price
2026-04-01,FUND_GLD,85.009
2026-04-02,FUND_GLD,85.652
2026-04-05,FUND_GLD,85.448
2026-04-06,FUND_GLD,85.481
2026-04-07,FUND_GLD,86.097
2026-04-08,FUND_GLD,86.444
2026-04-09,FUND_GLD,86.8
2026-04-12,FUND_GLD,86.497
2026-04-13,FUND_GLD,85.978
2026-04-14,FUND_GLD,85.69
2026-04-15,FUND_GLD,85.457
2026-04-16,FUND_GLD,84.989
2026-04-19,FUND_GLD,84.783
2026-04-20,FUND_GLD,84.793
2026-04-21,FUND_GLD,84.299
2026-04-22,FUND_GLD,84.833
2026-04-23,FUND_GLD,84.92
2026-04-26,FUND_GLD,84.988
2026-04-27,FUND_GLD,85.238
2026-04-28,FUND_GLD,85.367
2026-04-29,FUND_GLD,85.33
2026-04-30,FUND_GLD,85.797
2026-05-03,FUND_GLD,85.917
2026-05-04,FUND_GLD,86.221
2026-05-05,FUND_GLD,86.006
2026-05-06,FUND_GLD,86.079
2026-05-07,FUND_GLD,85.724
2026-05-10,FUND_GLD,85.823
2026-05-11,FUND_GLD,86.313
2026-05-12,FUND_GLD,86.695
2026-05-13,FUND_GLD,86.811
2026-05-14,FUND_GLD,86.63
2026-05-17,FUND_GLD,86.673
2026-05-18,FUND_GLD,86.307
2026-05-19,FUND_GLD,86.611
2026-05-20,FUND_GLD,86.318
2026-05-21,FUND_GLD,86.569
2026-05-24,FUND_GLD,86.335
2026-05-25,FUND_GLD,86.605
2026-05-26,FUND_GLD,86.91
2026-05-27,FUND_GLD,87.248
2026-05-28,FUND_GLD,86.886
2026-05-31,FUND_GLD,87.488
2026-06-01,FUND_GLD,87.147
2026-06-02,FUND_GLD,87.78
2026-06-03,FUND_GLD,88.223
2026-06-04,FUND_GLD,87.954
2026-06-07,FUND_GLD,87.436
2026-06-08,FUND_GLD,88.063
2026-06-09,FUND_GLD,88.182
2026-06-10,FUND_GLD,88.47
2026-06-11,FUND_GLD,88.381
2026-06-14,FUND_GLD,88.125
2026-06-15,FUND_GLD,87.694
2026-06-16,FUND_GLD,87.596
2026-06-17,FUND_GLD,87.678
2026-06-18,FUND_GLD,88.233
2026-06-21,FUND_GLD,87.861
2026-06-22,FUND_GLD,87.889
2026-06-23,FUND_GLD,87.421
2026-06-24,FUND_GLD,87.226
2026-06-25,FUND_GLD,86.812
2026-06-28,FUND_GLD,86.471
2026-06-29,FUND_GLD,87.003
2026-06-30,FUND_GLD,86.727
2026-07-01,FUND_GLD,86.447
2026-07-02,FUND_GLD,86.539
2026-07-05,FUND_GLD,86.138
2026-07-06,FUND_GLD,86.646
2026-07-07,FUND_GLD,86.236
2026-07-08,FUND_GLD,86.25
2026-07-09,FUND_GLD,86.187
2026-07-12,FUND_GLD,86.165
